Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
159,Eric Dier,DF,eng England,28,1994,0.4,44,2,22,23,0,0,44,0,0,,0,0,35,0,Matches
160,Axel Disasi,DF,fr France,24,1998,1.0,91,4,19,48,25,2,91,1,2,50.0,0,1,50,0,Matches
161,Alexander Djiku,"DF,FW",gh Ghana,27,1994,1.1,43,15,33,10,0,0,43,0,0,,0,0,18,0,Matches
162,Ritsu Doan,FW,jp Japan,23,1998,2.4,94,3,14,37,43,6,94,4,8,50.0,7,3,50,4,Matches
163,Jeremy Doku,"MF,FW",be Belgium,20,2002,0.2,17,0,1,7,10,2,17,2,4,50.0,1,0,14,0,Matches
164,Kasper Dolberg,FW,dk Denmark,24,1997,1.3,35,1,4,12,19,4,35,1,3,33.3,9,4,28,12,Matches
165,Mohamed Dräger,DF,tn Tunisia,25,1996,1.5,74,4,25,29,21,4,74,1,2,50.0,5,0,34,4,Matches
166,Óscar Duarte,DF,cr Costa Rica,33,1989,3.0,132,29,93,35,4,1,132,0,0,,1,0,70,0,Matches
167,Mitchell Duke,FW,au Australia,31,1991,3.0,97,0,11,47,41,11,97,1,2,50.0,11,1,62,6,Matches
168,Denzel Dumfries,DF,nl Netherlands,26,1996,5.3,281,7,54,135,93,12,281,0,8,0.0,13,7,170,14,Matches
169,Paulo Dybala,FW,ar Argentina,28,1993,0.2,20,1,1,12,7,1,20,1,2,50.0,0,1,13,2,Matches
170,Enzo Ebosse,DF,cm Cameroon,23,1999,1.0,49,9,28,21,1,0,49,0,0,,0,0,29,0,Matches
171,Ederson,GK,br Brazil,28,1993,1.0,32,30,32,0,0,0,32,0,0,,0,0,15,0,Matches
172,Jorge Eduardo Sánchez,DF,mx Mexico,24,1997,1.9,115,6,33,48,34,4,115,1,4,25.0,4,4,55,9,Matches
173,Nico Elvedi,DF,ch Switzerland,25,1996,2.0,165,26,93,69,3,1,165,0,0,,1,0,114,0,Matches
174,Breel Embolo,FW,ch Switzerland,25,1997,3.6,91,3,4,44,44,10,91,2,6,33.3,10,10,76,23,Matches
175,Youssef En-Nesyri,FW,ma Morocco,25,1997,6.0,129,13,37,62,30,13,129,5,8,62.5,9,1,71,13,Matches
176,Wataru Endo,MF,jp Japan,29,1993,3.4,241,14,60,140,42,2,241,1,5,20.0,2,5,149,3,Matches
177,Devis Epassy,GK,cm Cameroon,29,1993,2.0,92,77,91,1,0,0,92,0,0,,0,0,32,0,Matches
178,Christian Eriksen,MF,dk Denmark,30,1992,3.0,254,1,29,142,89,7,254,0,4,0.0,6,3,176,12,Matches
