Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
647,Wout Weghorst,FW,nl Netherlands,29,1992,0.7,22,0,2,11,9,4,22,0,0,,1,0,14,1,Matches
648,Wéverton,GK,br Brazil,34,1987,0.1,5,5,5,0,0,0,5,0,0,,0,0,2,0,Matches
649,Silvan Widmer,DF,ch Switzerland,29,1993,2.9,211,13,70,95,47,6,211,1,2,50.0,5,6,126,8,Matches
650,Iñaki Williams,FW,gh Ghana,27,1994,3.0,63,3,10,24,30,6,63,1,1,100.0,5,5,42,6,Matches
651,Neco Williams,DF,wls Wales,21,2001,2.3,136,4,32,67,39,4,136,1,7,14.3,6,2,61,3,Matches
652,Nico Williams,FW,es Spain,19,2002,1.6,90,0,4,38,50,5,90,5,16,31.3,9,2,69,10,Matches
653,Callum Wilson,FW,eng England,30,1992,0.5,17,0,2,9,7,2,17,0,1,0.0,4,2,13,6,Matches
654,Harry Wilson,"MF,FW",wls Wales,25,1997,1.8,82,5,21,35,26,1,82,0,1,0.0,3,0,49,5,Matches
655,Roan Wilson,MF,cr Costa Rica,20,2002,0.0,8,1,3,5,0,0,8,0,0,,0,0,5,1,Matches
656,Axel Witsel,MF,be Belgium,33,1989,3.0,200,11,56,131,17,1,200,0,0,,2,3,140,2,Matches
657,Jeong Woo-yeong,MF,kr Korea Republic,22,1999,0.5,20,1,1,5,14,2,20,0,1,0.0,1,0,14,4,Matches
658,Jung Woo-young,MF,kr Korea Republic,32,1989,3.4,241,14,62,151,29,1,241,0,0,,2,2,169,1,Matches
659,Christopher Wooh,DF,cm Cameroon,20,2001,1.0,45,8,25,18,2,1,45,0,0,,1,2,28,0,Matches
660,David Wotherspoon,MF,ca Canada,32,1990,0.2,9,0,1,3,5,0,9,1,1,100.0,0,0,7,0,Matches
661,Bailey Wright,DF,au Australia,29,1992,0.2,5,2,3,1,1,0,5,0,0,,0,0,2,0,Matches
662,Haji Wright,FW,us United States,24,1998,1.5,45,2,6,18,21,8,45,0,1,0.0,2,0,32,6,Matches
663,Granit Xhaka,MF,ch Switzerland,29,1992,4.0,274,11,66,172,40,3,274,1,2,50.0,2,3,202,5,Matches
664,Miki Yamane,"DF,MF",jp Japan,28,1993,0.7,38,0,3,21,14,1,38,1,1,100.0,0,0,13,1,Matches
665,Jawad El Yamiq,DF,ma Morocco,30,1992,3.4,202,29,119,80,3,3,202,0,0,,2,0,121,0,Matches
666,Taha Yassine Khenissi,FW,tn Tunisia,30,1992,0.3,8,1,1,3,4,2,8,0,0,,1,2,3,0,Matches
667,DeAndre Yedlin,DF,us United States,28,1993,0.4,32,2,8,10,14,2,32,0,0,,1,0,16,1,Matches
668,Maya Yoshida,DF,jp Japan,33,1988,4.3,276,46,128,147,2,1,276,1,2,50.0,1,1,184,0,Matches
669,Kim Young-gwon,DF,kr Korea Republic,32,1990,3.9,233,27,120,107,6,3,233,0,0,,0,0,172,0,Matches
670,Cho Yumin,FW,kr Korea Republic,25,1996,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches
671,Denis Zakaria,MF,ch Switzerland,25,1996,0.7,33,1,6,22,7,0,33,0,2,0.0,1,1,20,2,Matches
672,Nicola Zalewski,MF,pl Poland,20,2002,0.7,29,1,8,11,12,0,29,0,2,0.0,3,1,18,2,Matches
673,Andre-Frank Zambo Anguissa,MF,cm Cameroon,26,1995,2.9,158,3,46,83,32,3,158,4,5,80.0,5,5,120,4,Matches
674,Álvaro Zamora,MF,cr Costa Rica,20,2002,0.3,9,0,1,7,2,0,9,0,0,,1,1,7,1,Matches
675,Anass Zaroury,FW,ma Morocco,21,2000,0.3,15,0,1,6,8,0,15,1,1,100.0,0,0,10,1,Matches
676,Piotr Zieliński,"MF,FW",pl Poland,28,1994,3.6,179,7,23,115,44,4,179,1,4,25.0,2,1,113,4,Matches
677,Walker Zimmerman,DF,us United States,29,1993,3.1,275,27,138,132,5,1,275,0,0,,0,0,191,0,Matches
678,Andrija Živković,DF,rs Serbia,25,1996,2.3,120,7,34,50,40,3,120,0,1,0.0,4,1,72,4,Matches
679,Hakim Ziyech,FW,ma Morocco,29,1993,7.1,391,3,71,186,135,8,391,12,29,41.4,15,11,267,18,Matches
680,Filip Đuričić,"MF,FW",rs Serbia,30,1992,0.2,9,0,0,4,5,1,9,0,0,,1,0,6,2,Matches
