Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
426,Hidemasa Morita,MF,jp Japan,27,1995,3.2,157,154,3,2,1,1,3,1,0,0,0,0,129,0,1,Matches
427,Joe Morrell,MF,wls Wales,25,1997,0.4,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches
428,Jordan Morris,"FW,DF",us United States,27,1994,0.0,4,4,0,0,0,0,2,0,0,0,0,0,1,0,1,Matches
429,Youssoufa Moukoko,FW,de Germany,17,2004,0.0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,Matches
430,Mason Mount,MF,eng England,23,1999,2.1,73,70,3,2,0,3,3,0,0,0,0,0,61,0,1,Matches
431,Youssef Msakni,"MF,FW",tn Tunisia,31,1990,1.9,69,61,8,4,2,3,2,3,1,0,0,0,50,0,3,Matches
432,Thomas Müller,"FW,MF",de Germany,32,1989,2.2,78,73,4,0,0,0,5,3,0,0,0,0,56,1,4,Matches
433,Munir,GK,ma Morocco,33,1989,1.0,28,15,13,0,0,0,0,0,0,0,0,0,19,0,0,Matches
434,Mohammed Muntari,"FW,MF",qa Qatar,28,1993,0.7,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0,Matches
435,Yunus Musah,MF,us United States,19,2002,3.8,182,179,3,1,0,1,8,2,0,0,0,0,151,0,7,Matches
436,Jamal Musiala,"MF,FW",de Germany,19,2003,2.9,105,104,0,0,2,0,1,0,0,0,0,0,85,1,2,Matches
437,Joakim Mæhle,DF,dk Denmark,25,1997,2.8,146,120,26,1,0,0,4,25,0,0,0,0,119,0,2,Matches
438,Georges-Kévin N'Koudou,"FW,MF",cm Cameroon,27,1995,0.3,12,11,1,0,0,1,2,0,1,0,0,0,9,0,2,Matches
439,Yuto Nagatomo,"MF,DF",jp Japan,35,1986,2.3,109,88,17,3,0,0,6,14,0,0,0,0,78,4,1,Matches
440,Sami Al-Najei,MF,sa Saudi Arabia,25,1997,0.5,21,18,3,0,0,0,5,0,3,1,2,0,13,0,0,Matches
441,Keylor Navas,GK,cr Costa Rica,35,1986,3.0,102,60,41,8,0,0,0,0,0,0,0,0,61,1,0,Matches
442,Iliman Ndiaye,"FW,MF",sn Senegal,22,2000,1.5,32,29,3,0,0,0,2,1,0,0,0,0,25,0,0,Matches
443,Victor Nelsson,DF,dk Denmark,23,1998,1.0,74,71,3,3,0,3,0,0,0,0,0,0,69,0,0,Matches
444,Manuel Neuer,GK,de Germany,36,1986,3.0,127,111,16,2,0,0,0,0,0,0,0,0,115,0,0,Matches
445,Rúben Neves,MF,pt Portugal,25,1997,3.0,257,251,5,5,0,4,2,0,0,0,0,0,235,1,3,Matches
446,Neymar,MF,br Brazil,30,1992,3.1,153,131,22,8,2,0,8,3,9,6,1,0,121,0,5,Matches
447,Moumi Ngamaleu,"FW,MF",cm Cameroon,27,1994,1.1,25,24,1,0,0,0,1,1,0,0,0,0,21,0,0,Matches
448,Jerome Ngom Mbekeli,MF,cm Cameroon,23,1998,0.1,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,Matches
449,Rasmus Nissen,DF,dk Denmark,24,1997,2.5,179,152,26,0,0,1,7,26,0,0,0,0,137,1,4,Matches
450,Nicolas Nkoulou,DF,cm Cameroon,32,1990,2.0,91,89,1,1,0,0,0,0,0,0,0,0,79,1,0,Matches
451,Andries Noppert,GK,nl Netherlands,28,1994,5.3,192,145,47,7,0,1,0,0,0,0,0,0,157,0,1,Matches
452,Ahmad Nourollahi,MF,ir IR Iran,29,1993,2.5,54,52,1,0,0,0,3,0,0,0,0,0,35,1,0,Matches
453,Olivier Ntcham,MF,cm Cameroon,26,1996,0.3,12,12,0,0,0,0,0,0,0,0,0,0,11,0,1,Matches
454,Matheus Nunes,MF,pt Portugal,23,1998,0.8,33,32,1,0,0,0,3,1,0,0,0,0,28,0,1,Matches
455,Darwin Núñez,FW,uy Uruguay,22,1999,2.7,56,53,3,0,0,0,4,1,0,0,0,0,35,0,1,Matches
456,Christian Nørgaard,MF,dk Denmark,28,1994,0.1,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
457,Guillermo Ochoa,GK,mx Mexico,36,1985,3.0,109,75,32,6,0,0,0,0,0,0,0,0,93,2,0,Matches
458,Denis Odoi,DF,gh Ghana,34,1988,0.1,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,Matches
459,Noah Okafor,"FW,MF",ch Switzerland,22,2000,0.5,22,22,0,0,0,1,0,0,0,0,0,0,17,0,1,Matches
460,Mathías Olivera,DF,uy Uruguay,24,1997,2.8,133,107,26,1,0,0,6,25,0,0,0,0,104,0,5,Matches
461,Dani Olmo,FW,es Spain,24,1998,4.1,198,180,17,3,3,1,10,0,14,1,3,0,162,1,6,Matches
462,Amadou Onana,MF,be Belgium,20,2001,1.2,64,63,0,0,1,0,0,0,0,0,0,0,58,1,0,Matches
463,André Onana,GK,cm Cameroon,26,1996,0.9,59,44,15,6,0,0,0,0,0,0,0,0,45,0,0,Matches
464,Gaël Ondoua,MF,cm Cameroon,26,1995,0.5,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0,Matches
465,Loïs Openda,FW,be Belgium,22,2000,0.1,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
466,Mislav Oršić,FW,hr Croatia,29,1992,1.8,54,51,3,0,2,0,4,1,2,2,0,0,40,0,1,Matches
467,Jonathan Osorio,"MF,FW",ca Canada,30,1992,1.3,57,55,2,0,0,0,0,2,0,0,0,0,52,0,0,Matches
468,Nicolás Otamendi,DF,ar Argentina,34,1988,7.7,577,565,12,10,0,1,0,2,0,0,0,0,532,0,1,Matches
469,Otávio,MF,pt Portugal,27,1995,2.2,127,122,5,0,1,0,5,2,0,0,0,0,98,0,2,Matches
470,Samuel Oum Gouet,MF,cm Cameroon,24,1997,1.1,59,59,0,0,0,1,1,0,0,0,0,0,52,0,0,Matches
471,Azzedine Ounahi,MF,ma Morocco,22,2000,6.3,265,257,5,4,2,1,3,1,0,0,0,0,216,3,8,Matches
472,Bryan Oviedo,DF,cr Costa Rica,32,1990,2.9,89,77,10,1,0,0,2,9,0,0,0,0,67,2,5,Matches
473,Mohammed Al-Owais,GK,sa Saudi Arabia,30,1991,3.0,100,54,46,17,0,1,0,0,0,0,0,0,57,0,0,Matches
474,Juan Pablo Vargas,DF,cr Costa Rica,27,1995,1.0,24,18,6,1,0,0,0,5,0,0,0,0,19,0,0,Matches
475,Exequiel Palacios,"MF,DF",ar Argentina,23,1998,0.6,28,26,1,1,0,0,0,0,0,0,0,0,25,1,0,Matches
476,João Palhinha,MF,pt Portugal,26,1995,0.4,31,30,1,1,0,0,0,0,0,0,0,0,26,0,0,Matches
477,Lucas Paquetá,MF,br Brazil,24,1997,3.5,202,193,8,2,0,0,4,6,0,0,0,0,169,1,4,Matches
478,Leandro Paredes,MF,ar Argentina,27,1994,2.5,246,233,12,11,0,1,0,1,0,0,0,0,230,1,0,Matches
479,Thomas Partey,MF,gh Ghana,29,1993,3.0,176,171,5,5,0,1,1,0,0,0,0,0,146,0,2,Matches
480,Mario Pašalić,"FW,MF",hr Croatia,27,1995,3.0,95,95,0,0,1,0,1,0,0,0,0,0,76,0,4,Matches
481,Benjamin Pavard,DF,fr France,26,1996,1.0,90,84,6,1,0,1,1,5,0,0,0,0,82,0,0,Matches
482,Strahinja Pavlović,DF,rs Serbia,21,2001,2.6,156,152,4,2,0,0,1,2,0,0,0,0,121,0,3,Matches
483,Pedri,MF,es Spain,19,2002,4.0,434,428,6,2,3,4,2,2,0,0,0,0,393,0,9,Matches
484,Pedro,FW,br Brazil,24,1997,0.7,13,10,3,0,0,0,0,0,0,0,0,0,10,0,0,Matches
485,Facundo Pellistri,"MF,FW",uy Uruguay,20,2001,2.0,46,46,0,0,0,0,3,0,0,0,0,0,32,0,3,Matches
486,Pepe,DF,pt Portugal,39,1983,4.0,295,287,4,4,0,4,1,0,0,0,0,0,243,4,0,Matches
487,Danilo Pereira,DF,pt Portugal,30,1991,1.0,78,76,2,2,0,1,0,0,0,0,0,0,68,0,1,Matches
488,Ivan Perišić,"FW,DF",hr Croatia,33,1989,7.4,292,254,36,1,1,2,27,34,1,0,0,0,202,2,7,Matches
489,Bruno Petković,FW,hr Croatia,27,1994,2.6,75,71,3,0,0,2,1,0,0,0,0,0,40,1,5,Matches
490,Germán Pezzella,DF,ar Argentina,30,1991,0.7,45,43,1,1,0,0,0,0,0,0,0,0,42,1,0,Matches
491,Kalvin Phillips,MF,eng England,26,1995,0.5,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0,Matches
492,Krzysztof Piątek,FW,pl Poland,26,1995,0.3,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
493,Jordan Pickford,GK,eng England,28,1994,5.0,160,120,39,3,0,0,0,0,0,0,0,0,126,1,1,Matches
494,Orbelín Pineda,MF,mx Mexico,26,1996,0.8,25,25,0,0,0,0,0,0,0,0,0,0,18,0,1,Matches
495,Gonzalo Plata,"MF,FW",ec Ecuador,21,2000,3.0,104,87,17,4,0,0,17,3,6,6,0,0,77,0,1,Matches
496,Jackson Porozo,DF,ec Ecuador,21,2000,1.1,44,43,1,0,1,0,0,1,0,0,0,0,39,0,0,Matches
497,Morteza Pouraliganji,DF,ir IR Iran,30,1992,3.0,128,122,6,4,0,3,2,0,0,0,0,0,92,0,3,Matches
498,Ángelo Preciado,DF,ec Ecuador,24,1998,2.9,129,98,30,2,0,0,8,28,0,0,0,0,94,1,0,Matches
499,Christian Pulisic,"FW,MF",us United States,23,1998,3.5,141,118,23,4,2,0,31,0,19,12,5,1,83,0,7,Matches
500,Adrien Rabiot,MF,fr France,27,1995,5.4,284,277,6,4,0,1,7,2,0,0,0,0,237,1,6,Matches
501,Nemanja Radonjić,"DF,FW",rs Serbia,26,1996,0.7,24,20,4,0,0,0,6,4,0,0,0,0,15,0,1,Matches
502,Baba Rahman,DF,gh Ghana,27,1994,2.0,100,75,24,1,0,0,11,20,3,0,3,0,66,1,3,Matches
503,Gonçalo Ramos,"FW,MF",pt Portugal,20,2001,1.7,31,29,2,0,0,0,0,0,0,0,0,0,25,0,1,Matches
504,Aaron Ramsey,MF,wls Wales,31,1990,3.0,112,101,10,3,0,3,5,0,1,0,1,0,88,1,3,Matches
505,Raphinha,FW,br Brazil,25,1996,3.5,150,131,18,4,0,1,22,3,11,6,3,0,111,1,4,Matches
506,Marcus Rashford,FW,eng England,24,1997,1.6,66,65,1,0,0,1,1,1,0,0,0,0,49,0,2,Matches
507,David Raum,DF,de Germany,24,1998,2.7,195,153,40,8,0,1,24,25,7,0,7,0,153,2,3,Matches
508,Bassam Al-Rawi,DF,qa Qatar,24,1997,1.0,57,53,4,4,1,2,0,0,0,0,0,0,47,0,1,Matches
509,Tim Ream,DF,us United States,34,1987,4.0,276,269,7,5,0,4,0,2,0,0,0,0,245,0,2,Matches
510,Djorkaeff Reasco,FW,ec Ecuador,23,1999,0.3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
511,Gio Reyna,FW,us United States,19,2002,0.6,38,34,3,0,0,1,2,2,0,0,0,0,26,1,1,Matches
512,Ramin Rezaeian,DF,ir IR Iran,32,1990,2.0,105,85,19,3,0,3,11,16,0,0,0,0,73,1,0,Matches
513,Everton Ribeiro,MF,br Brazil,33,1989,0.4,18,17,1,0,0,0,2,0,1,0,1,0,15,0,0,Matches
514,Declan Rice,MF,eng England,23,1999,4.6,322,320,2,2,0,3,4,0,0,0,0,0,300,0,4,Matches
515,Richarlison,FW,br Brazil,25,1997,3.6,58,55,3,0,1,0,2,0,0,0,0,0,40,0,4,Matches
516,Fabian Rieder,FW,ch Switzerland,20,2002,0.8,26,24,2,0,0,1,1,0,2,0,1,0,13,0,0,Matches
517,Ró-Ró,DF,qa Qatar,31,1990,2.9,108,94,12,2,1,0,3,10,0,0,0,0,78,2,5,Matches
518,Connor Roberts,DF,wls Wales,26,1995,2.2,118,99,19,0,0,0,7,19,0,0,0,0,92,0,3,Matches
519,Antonee Robinson,DF,us United States,24,1997,4.0,241,205,36,4,0,1,21,32,0,0,0,0,173,0,7,Matches
520,Sergio Rochet,GK,uy Uruguay,29,1993,3.0,78,49,29,5,0,0,0,0,0,0,0,0,54,0,0,Matches
521,Joe Rodon,DF,wls Wales,24,1997,3.0,169,167,2,2,0,0,0,0,0,0,0,0,152,0,0,Matches
522,Rodri,DF,es Spain,25,1996,4.3,689,678,11,8,0,3,2,3,0,0,0,0,642,0,1,Matches
523,Charly Rodríguez,MF,mx Mexico,25,1997,0.4,30,29,0,0,1,1,1,0,0,0,0,0,21,1,1,Matches
524,Guido Rodríguez,MF,ar Argentina,28,1994,0.6,64,62,2,2,0,1,0,0,0,0,0,0,54,0,0,Matches
525,Kevin Rodríguez,FW,ec Ecuador,22,2000,0.0,,,,,,,0,,,,,,,,,Matches
526,Ricardo Rodríguez,DF,ch Switzerland,29,1992,4.0,229,194,35,5,1,3,12,30,0,0,0,0,164,0,7,Matches
527,Rodrygo,"MF,FW",br Brazil,21,2001,2.0,113,101,12,2,1,0,9,3,7,4,0,0,91,0,1,Matches
528,Mohamed Ali Ben Romdhane,MF,tn Tunisia,22,1999,0.8,21,21,0,0,0,0,1,0,0,0,0,0,14,0,2,Matches
529,Cristian Romero,DF,ar Argentina,24,1998,6.1,375,364,11,9,0,2,0,2,0,0,0,0,337,0,1,Matches
530,Cristiano Ronaldo,FW,pt Portugal,37,1985,3.2,90,82,8,1,0,0,2,2,0,0,0,0,68,0,3,Matches
531,Marten de Roon,MF,nl Netherlands,31,1991,2.0,119,115,3,2,0,0,0,1,0,0,0,0,97,1,1,Matches
532,Kye Rowles,DF,au Australia,23,1998,4.0,187,180,6,5,0,1,0,0,0,0,0,0,165,1,3,Matches
533,Antonio Rüdiger,DF,de Germany,29,1993,3.0,252,242,9,6,0,2,0,2,0,0,0,0,229,1,1,Matches
534,Bryan Ruiz,MF,cr Costa Rica,36,1985,0.3,12,9,1,0,0,0,0,0,0,0,0,0,8,2,0,Matches
535,Mathew Ryan,GK,au Australia,30,1992,4.0,164,111,53,16,0,1,0,0,0,0,0,0,113,0,0,Matches
536,Youssouf Sabaly,DF,sn Senegal,29,1993,4.0,219,191,27,0,3,1,7,27,0,0,0,0,189,1,1,Matches
537,Abdelhamid Sabiri,MF,ma Morocco,25,1996,2.0,58,55,3,2,0,2,1,0,1,0,0,0,45,0,1,Matches
538,Romain Saïss,DF,ma Morocco,32,1990,5.2,199,186,13,10,0,5,1,0,0,0,0,0,159,0,1,Matches
539,Bukayo Saka,FW,eng England,20,2001,3.2,108,103,5,1,0,1,5,2,0,0,0,0,84,0,4,Matches
540,Hiroki Sakai,"MF,DF",jp Japan,32,1990,1.3,47,32,14,1,0,0,2,13,0,0,0,0,28,1,1,Matches
541,Youstin Salas,"DF,MF",cr Costa Rica,25,1996,0.5,19,15,4,0,0,0,0,4,0,0,0,0,15,0,0,Matches
542,William Saliba,DF,fr France,21,2001,0.3,37,37,0,0,0,0,0,0,0,0,0,0,37,0,0,Matches
543,Mohammed Salisu,DF,gh Ghana,23,1999,3.0,151,144,7,7,0,0,0,0,0,0,0,0,109,0,2,Matches
544,Tarek Salman,DF,qa Qatar,24,1997,0.1,10,10,0,0,0,0,1,0,0,0,0,0,7,0,1,Matches
545,Alex Sandro,DF,br Brazil,31,1991,2.1,169,144,24,3,0,0,4,21,0,0,0,0,150,1,2,Matches
546,Leroy Sané,"FW,DF",de Germany,26,1996,1.2,58,58,0,0,1,0,2,0,0,0,0,0,47,0,0,Matches
547,Na Sang-ho,FW,kr Korea Republic,25,1996,1.3,37,36,1,0,0,1,8,1,0,0,0,0,24,0,3,Matches
548,Pablo Sarabia,FW,es Spain,30,1992,0.0,5,3,2,0,0,0,3,0,2,2,0,0,2,0,1,Matches
549,Josh Sargent,FW,us United States,22,2000,1.7,33,31,2,0,0,0,1,0,0,0,0,0,29,0,1,Matches
550,Jeremy Sarmiento,"MF,FW",ec Ecuador,19,2002,0.9,37,33,4,0,0,0,5,2,2,1,1,0,23,0,2,Matches
551,Ismaila Sarr,"FW,MF",sn Senegal,24,1998,3.8,81,78,3,0,1,0,8,3,0,0,0,0,52,0,2,Matches
552,Ferjani Sassi,"MF,DF",tn Tunisia,30,1992,0.5,34,33,0,0,0,0,0,0,0,0,0,0,25,1,0,Matches
553,Fabian Schär,DF,ch Switzerland,30,1991,1.5,82,74,8,8,0,4,0,0,0,0,0,0,65,0,0,Matches
554,Nico Schlotterbeck,DF,de Germany,22,1999,1.0,123,116,6,2,0,2,0,4,0,0,0,0,110,1,1,Matches
555,Kasper Schmeichel,GK,dk Denmark,35,1986,3.0,87,69,18,1,0,0,0,1,0,0,0,0,72,0,0,Matches
556,Haris Seferović,FW,ch Switzerland,30,1992,0.8,14,11,2,0,0,0,0,0,0,0,0,0,10,1,0,Matches
557,Alidu Seidu,DF,gh Ghana,22,2000,1.7,78,62,16,2,0,0,6,14,0,0,0,0,59,0,2,Matches
558,Antoine Semenyo,"FW,MF",gh Ghana,22,2000,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
559,Kim Seung-gyu,GK,kr Korea Republic,31,1990,4.0,128,85,43,14,0,0,0,0,0,0,0,0,93,0,0,Matches
560,Paik Seung-ho,MF,kr Korea Republic,25,1997,0.3,27,27,0,0,0,0,0,0,0,0,0,0,20,0,0,Matches
561,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1992,1.0,29,22,7,1,0,0,1,6,0,0,0,0,13,0,1,Matches
562,Xherdan Shaqiri,"FW,MF",ch Switzerland,30,1991,2.5,104,90,13,2,0,0,15,1,9,8,1,0,67,1,5,Matches
563,Riyadh Sharahili,MF,sa Saudi Arabia,29,1993,0.6,17,16,1,1,1,0,0,0,0,0,0,0,14,0,0,Matches
564,Luke Shaw,DF,eng England,26,1995,4.7,400,347,52,15,0,1,22,33,4,1,3,0,335,1,8,Matches
565,Saad Al Sheeb,GK,qa Qatar,32,1990,1.0,20,13,7,3,0,0,0,0,0,0,0,0,18,0,0,Matches
566,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1993,2.5,47,39,8,0,1,0,1,0,0,0,0,0,29,0,7,Matches
567,André Silva,FW,pt Portugal,26,1995,0.3,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0,Matches
568,António Silva,DF,pt Portugal,18,2003,1.0,62,60,2,2,0,2,0,0,0,0,0,0,60,0,0,Matches
569,Bernardo Silva,MF,pt Portugal,27,1994,4.0,292,274,17,10,0,2,5,2,5,0,0,0,256,1,8,Matches
570,Thiago Silva,DF,br Brazil,37,1984,4.3,344,330,14,14,2,2,1,0,0,0,0,0,322,0,1,Matches
571,Unai Simón,GK,es Spain,25,1997,4.3,160,136,24,2,0,0,0,0,0,0,0,0,150,0,0,Matches
572,Xavi Simons,"FW,MF",nl Netherlands,19,2003,0.1,10,10,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
573,Ellyes Skhiri,MF,tn Tunisia,27,1995,3.0,127,122,5,3,0,1,2,1,0,0,0,0,109,0,1,Matches
574,Michał Skóraś,MF,pl Poland,22,2000,0.5,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
575,Andreas Skov Olsen,"FW,MF",dk Denmark,22,1999,1.5,63,58,5,0,0,1,4,4,1,0,0,0,43,0,7,Matches
576,Robert Skov,DF,dk Denmark,26,1996,0.2,21,20,1,0,0,0,5,1,0,0,0,0,17,0,1,Matches
577,Naïm Sliti,"MF,FW",tn Tunisia,29,1992,1.3,51,42,9,2,0,0,13,2,5,2,2,0,29,0,0,Matches
578,Carlos Soler,MF,es Spain,25,1997,1.0,83,78,4,1,0,1,3,1,2,1,1,0,78,1,1,Matches
579,Yuki Soma,"FW,MF",jp Japan,25,1997,0.9,19,11,8,2,0,0,6,3,3,3,0,0,11,0,1,Matches
580,Yann Sommer,GK,ch Switzerland,33,1988,3.0,118,97,21,2,0,0,0,0,0,0,0,0,108,0,0,Matches
581,Borna Sosa,DF,hr Croatia,24,1998,4.7,278,237,40,2,0,1,21,38,0,0,0,0,220,1,5,Matches
582,Harry Souttar,DF,au Australia,23,1998,4.0,167,163,4,4,0,2,0,0,0,0,0,0,138,0,1,Matches
583,Djibril Sow,MF,ch Switzerland,25,1997,2.9,97,94,3,1,0,0,1,0,0,0,0,0,84,0,1,Matches
584,Josip Stanišić,DF,hr Croatia,22,2000,1.0,49,40,9,2,0,1,1,7,0,0,0,0,36,0,4,Matches
585,Renato Steffen,FW,ch Switzerland,30,1991,0.4,15,14,1,0,0,0,0,1,0,0,0,0,13,0,0,Matches
586,Raheem Sterling,FW,eng England,27,1994,1.7,55,55,0,0,0,0,2,0,0,0,0,0,45,0,2,Matches
587,John Stones,DF,eng England,28,1994,4.8,454,451,3,2,0,3,0,1,0,0,0,0,435,0,0,Matches
588,Luis Suárez,FW,uy Uruguay,35,1987,1.6,40,37,3,0,0,1,0,0,0,0,0,0,25,0,3,Matches
589,Niklas Süle,DF,de Germany,26,1995,3.0,255,239,16,6,0,3,1,10,0,0,0,0,231,0,1,Matches
590,Kamaldeen Sulemana,FW,gh Ghana,20,2002,0.6,19,19,0,0,0,0,4,0,0,0,0,0,10,0,3,Matches
591,Josip Šutalo,DF,hr Croatia,22,2000,1.0,66,66,0,0,0,1,0,0,0,0,0,0,62,0,0,Matches
592,Karol Świderski,FW,pl Poland,25,1997,0.5,7,6,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches
593,Wojciech Szczęsny,GK,pl Poland,32,1990,4.0,142,90,52,19,0,3,0,0,0,0,0,0,84,0,0,Matches
594,Damian Szymański,MF,pl Poland,26,1995,0.3,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
595,Sebastian Szymański,MF,pl Poland,23,1999,1.5,41,39,2,2,0,0,3,0,0,0,0,0,26,0,3,Matches
596,Dušan Tadić,"MF,FW",rs Serbia,33,1988,2.9,127,108,17,7,2,1,17,1,9,4,5,0,90,2,3,Matches
597,Nicolás Tagliafico,DF,ar Argentina,29,1992,4.1,179,138,38,6,0,0,1,32,0,0,0,0,146,3,3,Matches
598,Montassar Talbi,DF,tn Tunisia,24,1998,3.0,137,133,4,3,0,2,0,0,0,0,0,0,118,0,3,Matches
599,Hassan Al Tambakti,DF,sa Saudi Arabia,23,1999,2.0,55,49,6,6,0,1,0,0,0,0,0,0,40,0,1,Matches
600,Ao Tanaka,MF,jp Japan,23,1998,1.9,69,66,3,1,0,0,2,0,0,0,0,0,48,0,0,Matches
601,Shogo Taniguchi,DF,jp Japan,30,1991,2.3,85,81,4,1,0,3,0,3,0,0,0,0,72,0,0,Matches
602,Mehdi Taremi,FW,ir IR Iran,29,1992,3.0,78,71,7,0,0,0,0,0,1,0,0,0,58,0,3,Matches
603,Kenneth Taylor,MF,nl Netherlands,20,2002,0.1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
604,Aurélien Tchouaméni,MF,fr France,22,2000,6.9,474,461,11,10,1,2,3,1,0,0,0,0,424,2,3,Matches
605,Yeltsin Tejeda,MF,cr Costa Rica,30,1992,3.0,99,97,1,1,0,2,0,0,0,0,0,0,78,1,1,Matches
606,Alex Telles,DF,br Brazil,29,1992,0.7,42,37,5,2,0,0,3,3,0,0,0,0,33,0,0,Matches
607,Sorba Thomas,MF,wls Wales,22,1999,0.0,4,3,1,1,0,0,1,0,0,0,0,0,3,0,0,Matches
608,Marcus Thuram,"FW,MF",fr France,24,1997,1.7,40,39,1,0,0,0,1,0,0,0,0,0,27,0,1,Matches
609,Youri Tielemans,MF,be Belgium,25,1997,1.1,64,60,4,1,0,0,1,2,0,0,0,0,53,0,0,Matches
610,Jurriën Timber,DF,nl Netherlands,20,2001,4.3,313,301,11,7,2,0,1,4,0,0,0,0,283,1,0,Matches
611,Karl Toko Ekambi,"FW,MF",cm Cameroon,29,1992,1.8,53,50,3,1,0,1,3,0,2,0,2,0,43,0,2,Matches
612,Nouhou Tolo,DF,cm Cameroon,24,1997,3.0,109,89,19,1,0,2,7,18,0,0,0,0,83,1,2,Matches
613,Takehiro Tomiyasu,"DF,MF",jp Japan,23,1998,2.1,103,91,12,5,0,0,0,7,0,0,0,0,73,0,0,Matches
614,Mehdi Torabi,MF,ir IR Iran,27,1994,0.7,37,36,1,0,1,0,1,1,0,0,0,0,30,0,1,Matches
615,Félix Torres Caicedo,DF,ec Ecuador,25,1997,3.0,208,196,10,10,0,1,0,0,0,0,0,0,168,2,3,Matches
616,Ferrán Torres,FW,es Spain,22,2000,2.4,85,85,0,0,0,0,9,0,0,0,0,0,59,0,7,Matches
617,Gerson Torres,MF,cr Costa Rica,24,1997,0.7,16,14,2,2,0,0,0,0,0,0,0,0,16,0,0,Matches
618,Pau Torres,DF,es Spain,25,1997,1.0,191,189,1,0,1,2,0,1,0,0,0,0,174,1,1,Matches
619,Kieran Trippier,DF,eng England,31,1990,2.3,195,156,39,9,0,1,10,22,8,2,6,0,165,0,3,Matches
620,Leandro Trossard,"FW,MF",be Belgium,27,1994,1.1,57,56,1,0,0,1,2,1,0,0,0,0,43,0,2,Matches
621,Matt Turner,GK,us United States,27,1994,4.0,128,98,30,10,0,0,0,0,0,0,0,0,101,0,0,Matches
622,Ayase Ueda,FW,jp Japan,23,1998,0.5,12,12,0,0,1,0,0,0,0,0,0,0,7,0,0,Matches
623,Hwang Ui-jo,"FW,MF",kr Korea Republic,29,1992,1.2,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0,Matches
624,Dayot Upamecano,DF,fr France,23,1998,5.3,351,344,5,4,0,7,0,1,0,0,0,0,314,2,3,Matches
625,Enner Valencia,"FW,MF",ec Ecuador,32,1989,2.8,57,54,3,0,0,0,3,1,0,0,0,0,40,0,5,Matches
626,Federico Valverde,MF,uy Uruguay,23,1998,3.0,189,175,13,8,1,3,7,1,4,0,3,0,159,1,1,Matches
627,Virgil van Dijk,DF,nl Netherlands,30,1991,5.3,356,336,19,19,1,4,0,0,0,0,0,0,311,1,0,Matches
628,Raphaël Varane,DF,fr France,29,1993,5.8,286,278,8,7,0,0,1,1,0,0,0,0,256,0,0,Matches
629,Guillermo Varela,DF,uy Uruguay,29,1993,2.0,92,72,20,2,0,1,7,18,0,0,0,0,62,0,2,Matches
630,Ruben Vargas,FW,ch Switzerland,23,1998,3.2,117,103,14,0,0,0,15,6,8,7,0,0,80,0,7,Matches
631,Matías Vecino,MF,uy Uruguay,30,1991,2.2,106,105,1,1,0,1,1,0,0,0,0,0,76,0,5,Matches
632,Alexis Vega,FW,mx Mexico,24,1997,2.1,56,50,6,2,2,0,6,0,4,0,3,0,40,0,2,Matches
633,Miloš Veljković,DF,rs Serbia,26,1995,2.5,112,111,1,1,0,5,0,0,0,0,0,0,98,0,3,Matches
634,Johan Venegas,"FW,MF",cr Costa Rica,33,1988,0.8,14,13,1,0,0,0,1,0,0,0,0,0,11,0,0,Matches
635,Jordan Veretout,MF,fr France,29,1993,0.7,36,35,1,1,0,0,0,0,0,0,0,0,33,0,1,Matches
636,Jan Vertonghen,DF,be Belgium,35,1987,3.0,269,263,6,5,0,2,0,1,0,0,0,0,238,0,4,Matches
637,Matías Viña,DF,uy Uruguay,24,1997,0.2,21,17,4,1,0,1,2,3,0,0,0,0,11,0,2,Matches
638,Vitinha,MF,pt Portugal,22,2000,1.3,108,104,3,1,0,1,2,1,1,0,1,0,100,1,0,Matches
639,Steven Vitória,DF,ca Canada,35,1987,3.0,186,182,4,4,0,3,0,0,0,0,0,0,160,0,2,Matches
640,Dušan Vlahović,FW,rs Serbia,22,2000,0.9,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
