Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
81,Sofiane Boufal,FW,ma Morocco,28,1993,5.3,15,2.84,12,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
82,Yassine Bounou,GK,ma Morocco,31,1991,6.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Martin Braithwaite,"FW,MF",dk Denmark,31,1991,1.1,3,2.62,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1992,0.7,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Gleison Bremer,DF,br Brazil,25,1997,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Dylan Bronn,DF,tn Tunisia,26,1995,1.8,2,1.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Marcelo Brozović,MF,hr Croatia,29,1992,6.1,10,1.72,10,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
88,Tajon Buchanan,"MF,DF",ca Canada,23,1999,2.9,9,3.12,7,0,0,1,1,0,1,0.35,1,0,0,0,0,0,Matches
89,Ante Budimir,FW,hr Croatia,30,1991,0.6,1,2.05,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
90,Osman Bukari,MF,gh Ghana,23,1998,0.7,1,1.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1989,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
92,Firas Al-Buraikan,"MF,FW",sa Saudi Arabia,22,2000,3.0,2,0.67,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
93,Sergio Busquets,MF,es Spain,33,1988,4.0,11,2.97,11,0,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
94,Martín Cáceres,DF,uy Uruguay,35,1987,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Moisés Caicedo,MF,ec Ecuador,20,2001,3.0,5,1.67,4,0,0,0,1,0,1,0.33,1,0,0,0,0,0,Matches
96,Francisco Calvo,DF,cr Costa Rica,29,1992,2.0,1,0.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
97,Eduardo Camavinga,DF,fr France,19,2002,1.6,2,1.64,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
98,Joel Campbell,"FW,MF",cr Costa Rica,29,1992,3.0,3,1.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,João Cancelo,DF,pt Portugal,28,1994,3.4,2,0.58,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Agustín Canobbio,MF,uy Uruguay,23,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Yannick Carrasco,"FW,DF",be Belgium,28,1993,1.3,4,3.10,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Cameron Carter-Vickers,DF,us United States,24,1997,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
