Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
333,Takefusa Kubo,FW,jp Japan,21,2001,1.0,0,0,0,2,2,1,0,0,1,0,0,0,4,1,1,50.0,Matches
334,Pierre Kunde,MF,cm Cameroon,26,1995,1.5,1,0,0,3,1,0,4,4,2,0,0,0,13,1,0,100.0,Matches
335,Garang Kuol,"FW,MF",au Australia,17,2004,0.4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,33.3,Matches
336,Daniel Kyereh,"MF,DF",gh Ghana,26,1996,0.4,0,0,0,0,0,0,5,0,2,0,0,0,3,0,1,0.0,Matches
337,Kwon Kyung-won,DF,kr Korea Republic,30,1992,1.0,0,0,0,0,3,0,0,2,0,0,0,0,2,2,2,50.0,Matches
338,Aïssa Laïdouni,MF,tn Tunisia,25,1996,2.7,1,0,0,3,6,0,3,4,3,0,0,0,25,3,1,75.0,Matches
339,Tariq Lamptey,DF,gh Ghana,21,2000,1.1,1,0,0,3,2,0,3,1,1,0,0,0,8,0,1,0.0,Matches
340,Noa Lang,MF,nl Netherlands,22,1999,0.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,Matches
341,Aymeric Laporte,DF,es Spain,28,1994,3.3,1,0,0,3,2,0,0,3,0,0,0,0,17,5,3,62.5,Matches
342,Cyle Larin,FW,ca Canada,27,1995,1.5,0,0,0,2,0,2,3,0,0,0,0,0,4,2,1,66.7,Matches
343,Richie Laryea,"DF,MF",ca Canada,27,1995,1.8,0,0,0,1,2,2,1,0,1,0,0,0,11,0,1,0.0,Matches
344,Darko Lazović,DF,rs Serbia,31,1990,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
345,Rafael Leão,FW,pt Portugal,23,1999,1.0,0,0,0,3,1,0,6,1,0,0,0,0,5,1,0,100.0,Matches
346,Mathew Leckie,"MF,FW",au Australia,31,1991,3.7,0,0,0,8,6,0,4,1,4,0,0,0,15,14,10,58.3,Matches
347,Robert Lewandowski,FW,pl Poland,33,1988,4.0,0,0,0,6,9,0,3,1,2,1,0,0,14,16,17,48.5,Matches
348,Matthijs de Ligt,DF,nl Netherlands,22,1999,1.0,1,0,0,4,1,0,0,0,0,0,0,0,3,5,2,71.4,Matches
