Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
554,Nico Schlotterbeck,DF,de Germany,22,1999,1.0,110,123,89.4,1895,548,42,42,100.0,59,60,98.3,6,16,37.5,0,0.1,0.1,-0.1,2,10,2,0,7,Matches
555,Kasper Schmeichel,GK,dk Denmark,35,1986,3.0,72,87,82.8,1830,1388,16,16,100.0,36,36,100.0,20,35,57.1,0,0.0,0.0,0.0,0,3,0,0,1,Matches
556,Haris Seferović,FW,ch Switzerland,30,1992,0.8,10,14,71.4,135,23,7,7,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
557,Alidu Seidu,DF,gh Ghana,22,2000,1.7,59,78,75.6,791,246,43,47,91.5,12,17,70.6,2,8,25.0,0,0.0,0.0,0.0,0,3,1,1,1,Matches
558,Antoine Semenyo,"FW,MF",gh Ghana,22,2000,0.2,1,2,50.0,15,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
559,Kim Seung-gyu,GK,kr Korea Republic,31,1990,4.0,93,128,72.7,2291,1407,23,23,100.0,45,45,100.0,25,59,42.4,0,0.0,0.0,0.0,0,1,0,0,0,Matches
560,Paik Seung-ho,MF,kr Korea Republic,25,1997,0.3,20,27,74.1,260,57,10,14,71.4,7,9,77.8,1,1,100.0,0,0.0,0.0,0.0,0,3,1,0,2,Matches
561,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1992,1.0,13,29,44.8,221,123,6,8,75.0,6,14,42.9,1,6,16.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches
562,Xherdan Shaqiri,"FW,MF",ch Switzerland,30,1991,2.5,67,104,64.4,981,337,38,43,88.4,21,30,70.0,4,17,23.5,1,0.9,1.0,+0.1,4,7,4,0,11,Matches
563,Riyadh Sharahili,MF,sa Saudi Arabia,29,1993,0.6,14,17,82.4,203,54,8,8,100.0,5,5,100.0,1,3,33.3,0,0.0,0.0,0.0,1,0,0,0,0,Matches
564,Luke Shaw,DF,eng England,26,1995,4.7,335,400,83.8,5392,1662,165,179,92.2,144,159,90.6,20,41,48.8,1,0.8,0.9,+0.2,8,23,9,4,31,Matches
565,Saad Al Sheeb,GK,qa Qatar,32,1990,1.0,18,20,90.0,409,287,5,5,100.0,8,8,100.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
566,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1993,2.5,29,47,61.7,351,40,15,20,75.0,7,11,63.6,2,2,100.0,0,0.1,0.0,-0.1,2,4,0,0,0,Matches
567,André Silva,FW,pt Portugal,26,1995,0.3,9,11,81.8,148,27,5,7,71.4,3,3,100.0,1,1,100.0,0,0.1,0.0,-0.1,2,1,0,0,1,Matches
568,António Silva,DF,pt Portugal,18,2003,1.0,60,62,96.8,1152,310,26,26,100.0,22,23,95.7,10,11,90.9,0,0.0,0.0,0.0,0,1,0,0,3,Matches
569,Bernardo Silva,MF,pt Portugal,27,1994,4.0,256,292,87.7,4147,777,143,153,93.5,87,92,94.6,20,30,66.7,0,0.4,0.3,-0.4,5,16,1,0,12,Matches
570,Thiago Silva,DF,br Brazil,37,1984,4.3,322,344,93.6,6145,2410,115,120,95.8,174,181,96.1,32,39,82.1,1,0.9,0.6,+0.1,4,15,3,1,15,Matches
571,Unai Simón,GK,es Spain,25,1997,4.3,150,160,93.8,3167,2017,38,38,100.0,92,95,96.8,20,27,74.1,0,0.0,0.0,0.0,0,0,0,0,1,Matches
572,Xavi Simons,"FW,MF",nl Netherlands,19,2003,0.1,6,10,60.0,89,36,4,7,57.1,2,2,100.0,0,0,,0,0.0,0.1,0.0,0,0,2,0,3,Matches
573,Ellyes Skhiri,MF,tn Tunisia,27,1995,3.0,109,127,85.8,1976,841,44,46,95.7,52,59,88.1,12,19,63.2,0,0.1,0.1,-0.1,3,14,2,0,13,Matches
574,Michał Skóraś,MF,pl Poland,22,2000,0.5,8,9,88.9,127,4,1,2,50.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
575,Andreas Skov Olsen,"FW,MF",dk Denmark,22,1999,1.5,43,63,68.3,652,116,25,28,89.3,15,20,75.0,3,4,75.0,0,0.0,0.1,0.0,0,2,1,0,3,Matches
576,Robert Skov,DF,dk Denmark,26,1996,0.2,17,21,81.0,281,55,7,8,87.5,9,9,100.0,1,3,33.3,0,0.0,0.4,0.0,0,1,1,1,2,Matches
