Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
563,Mohammed Al-Owais,GK,sa Saudi Arabia,30,1991,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,5,-2,-0.67,,3.0,6.0,-3.0,-1.01,,Matches
564,Elisha Owusu,MF,gh Ghana,24,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
565,Juan Pablo Vargas,DF,cr Costa Rica,27,1995,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,2,4,-2,-2.00,+1.00,1.3,5.7,-4.4,-4.40,-2.25,Matches
566,William Pacho,DF,ec Ecuador,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
567,Diego Palacios,DF,ec Ecuador,22,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
568,Exequiel Palacios,"MF,DF",ar Argentina,23,1998,3,50,17,7.2,0.6,0,,0,3,17,4,3.00,1,0,+1,+1.80,+0.96,1.2,0.6,+0.6,+1.05,-0.34,Matches
569,João Palhinha,MF,pt Portugal,26,1995,3,38,13,8.4,0.4,0,,0,3,13,2,2.00,1,2,-1,-2.37,-3.90,1.1,1.4,-0.2,-0.57,-0.90,Matches
570,James Pantemis,GK,ca Canada,25,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
571,Lucas Paquetá,MF,br Brazil,24,1997,4,314,79,65.4,3.5,4,79,1,0,,1,2.50,7,1,+6,+1.72,+2.26,8.6,1.1,+7.5,+2.14,+0.81,Matches
572,Leandro Paredes,MF,ar Argentina,27,1994,5,225,45,32.6,2.5,2,60,0,3,35,2,1.60,6,5,+1,+0.40,-0.76,6.6,1.9,+4.7,+2.42,+1.42,Matches
573,Thomas Partey,MF,gh Ghana,29,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,4.1,5.6,-1.4,-0.48,,Matches
574,Mario Pašalić,"FW,MF",hr Croatia,27,1995,7,271,39,39.3,3.0,2,58,0,5,31,0,1.43,1,2,-1,-0.33,-0.76,2.2,4.2,-2.0,-0.75,-0.35,Matches
